rank,symbol,shares,close,target_value,amount20_m,is_st
1,sz.002977,400,19.57,7828,1833.7,True
2,sh.688391,200,27.34,5468,2961.7,False
3,sz.000698,2100,3.63,7623,1334.3,True
4,sh.688184,700,10.8,7560,557.3,True
5,sh.603789,1300,5.95,7735,1668.7,True
6,sz.002496,3700,2.1,7770,6727.6,False
7,sz.002485,1300,5.96,7748,1086.0,True
8,sh.600381,1800,4.34,7812,2800.1,True
9,sz.002883,800,9.22,7376,712.3,True
10,sh.603557,2400,3.25,7800,2080.1,True
11,sz.300264,1200,6.1,7320,9108.1,False
12,sz.000677,4400,1.77,7788,6588.9,True
13,sz.000953,1200,6.08,7296,4671.3,False
14,sh.688189,1200,6.53,7836,1873.2,True
15,sz.002888,400,18.69,7476,8568.1,False
16,sz.001333,300,20.6,6180,2859.1,False
17,sz.000826,4200,1.84,7728,2517.9,True
18,sh.600476,700,10.24,7168,1495.8,True
19,sz.002168,2200,3.58,7876,1557.0,True
